#Centroids	beta_prevalence	mean_abundance	alpha_prevalence_Y	alpha_prevalence_X	ppanini_score_X	ppanini_score_Y
SRS015996.16322	0.416666666667	2075.32520298	0.5	0.333333333333	16.1307911888	13.5701932388
SRS011132.31	0.416666666667	4296.47318203	0.5	0.333333333333	17.6320119892	14.6171682321
SRS015996.9464	0.416666666667	3825.46058929	0.5	0.333333333333	17.4228173261	14.4731042941
SRS019597.1950	0.333333333333	2987.13296425	0.0	0.666666666667	17.1143561344	0.975406783212
SRS019597.1951	0.416666666667	2805.39615466	0.5	0.333333333333	16.653217652	13.9380331642
SRS011132.38	0.416666666667	2911.15147643	0.5	0.333333333333	16.7270044398	13.9896833218
SRS011132.291	0.416666666667	3790.06900416	0.5	0.333333333333	17.3766671833	14.4412436559
SRS011132.293	0.416666666667	3532.51991353	0.5	0.333333333333	17.2583500515	14.3594303985
SRS011132.294	0.416666666667	3819.08727292	0.5	0.333333333333	17.4176936271	14.4695684602
SRS011132.297	0.416666666667	2973.07105845	0.5	0.333333333333	16.7795814608	14.0264413379
SRS011132.298	0.416666666667	3288.51475235	0.5	0.333333333333	17.0746566516	14.2320371008
SRS011132.299	0.416666666667	3288.51475235	0.5	0.333333333333	17.0746566516	14.2320371008
SRS015996.13164	0.416666666667	2578.80646524	0.5	0.333333333333	16.5103219026	13.8377947953
SRS015996.3163	0.416666666667	6317.79492411	0.5	0.333333333333	17.7840042104	14.7214730697
UniRef90_B0UUG7	0.166666666667	7974.10918887	0.0	0.333333333333	17.9551731676	0.979115511903
UniRef90_Q538B5	0.166666666667	8589.52600688	0.0	0.333333333333	18.0027944931	0.979256766461
SRS015996.10004	0.416666666667	2496.50413125	0.5	0.333333333333	16.4412403222	13.7892347373
