# Gene Family	demo_Abundance-RPKs
UniRef90_R6II27	11.9047619048
UniRef90_R6II27|g__Bacteroides.s__Bacteroides_dorei	8.9285714286
UniRef90_R6II27|g__Bacteroides.s__Bacteroides_vulgatus	2.9761904762
UniRef90_I8W9U2	11.7994100295
UniRef90_I8W9U2|g__Bacteroides.s__Bacteroides_dorei	11.7994100295
UniRef90_R6IMC3	11.7994100295
UniRef90_R6IMC3|g__Bacteroides.s__Bacteroides_vulgatus	8.8495575221
UniRef90_R6IMC3|g__Bacteroides.s__Bacteroides_dorei	2.9498525074
UniRef90_R6I1E0	11.7647058824
UniRef90_R6I1E0|g__Bacteroides.s__Bacteroides_dorei	11.7647058824
UniRef90_U3KP22	11.6979338377
UniRef90_U3KP22|unclassified	11.6979338377
UniRef90_R6IM51	11.6539191351
UniRef90_R6IM51|g__Bacteroides.s__Bacteroides_vulgatus	6.8054342866
UniRef90_R6IM51|g__Bacteroides.s__Bacteroides_dorei	4.8484848485
UniRef90_A6L6W4	11.6372593375
UniRef90_A6L6W4|g__Bacteroides.s__Bacteroides_vulgatus	11.6372593375
UniRef90_W7DVV5	11.5904796756
UniRef90_W7DVV5|unclassified	11.5904796756
UniRef90_U3KI10	11.5589897710
UniRef90_U3KI10|unclassified	11.5589897710
UniRef90_R6HZL4	11.5286146534
UniRef90_R6HZL4|g__Bacteroides.s__Bacteroides_vulgatus	6.6976967790
UniRef90_R6HZL4|g__Bacteroides.s__Bacteroides_dorei	4.8309178744
UniRef90_C6IUM0	11.4942528736
UniRef90_C6IUM0|g__Bacteroides.s__Bacteroides_dorei	11.4942528736
UniRef90_D4VC53	11.4942528736
UniRef90_D4VC53|g__Bacteroides.s__Bacteroides_vulgatus	11.4942528736
UniRef90_I9QIW6	11.4942528736
UniRef90_I9QIW6|g__Bacteroides.s__Bacteroides_dorei	11.4942528736
UniRef90_Q5L8C8	11.4942528736
UniRef90_Q5L8C8|g__Bacteroides.s__Bacteroides_dorei	5.7471264368
UniRef90_Q5L8C8|g__Bacteroides.s__Bacteroides_vulgatus	5.7471264368
UniRef90_Q64NV0	11.4942528736
UniRef90_Q64NV0|g__Bacteroides.s__Bacteroides_vulgatus	11.4942528736
UniRef90_R6HHP1	11.4942528736
UniRef90_R6HHP1|g__Bacteroides.s__Bacteroides_dorei	6.5681444992
UniRef90_R6HHP1|g__Bacteroides.s__Bacteroides_vulgatus	4.9261083744
UniRef90_R7P0I9	11.4503816794
UniRef90_R7P0I9|g__Bacteroides.s__Bacteroides_vulgatus	6.3613231552
UniRef90_R7P0I9|g__Bacteroides.s__Bacteroides_dorei	5.0890585242
UniRef90_R6HJN7	11.4285714286
UniRef90_R6HJN7|g__Bacteroides.s__Bacteroides_dorei	7.6190476190
UniRef90_R6HJN7|g__Bacteroides.s__Bacteroides_vulgatus	3.8095238095
UniRef90_D6D3L1	11.4225737911
UniRef90_D6D3L1|g__Bacteroides.s__Bacteroides_vulgatus	6.8248726416
UniRef90_D6D3L1|g__Bacteroides.s__Bacteroides_dorei	4.5977011494
UniRef90_R6HTM7	11.4225134312
UniRef90_R6HTM7|g__Bacteroides.s__Bacteroides_dorei	6.5681444992
UniRef90_R6HTM7|g__Bacteroides.s__Bacteroides_vulgatus	4.8543689320
UniRef90_I8VW20	11.4219114219
UniRef90_I8VW20|g__Bacteroides.s__Bacteroides_dorei	11.4219114219
UniRef90_Z5XKU5	11.3736016532
UniRef90_Z5XKU5|unclassified	11.3736016532
UniRef90_R7NXH3	11.3636363636
UniRef90_R7NXH3|g__Bacteroides.s__Bacteroides_vulgatus	11.3636363636
UniRef90_D4V956	11.3259948216
UniRef90_D4V956|g__Bacteroides.s__Bacteroides_vulgatus	7.4349442379
UniRef90_D4V956|g__Bacteroides.s__Bacteroides_dorei	3.8910505837
UniRef90_Q650D4	11.2994350282
UniRef90_Q650D4|g__Bacteroides.s__Bacteroides_vulgatus	11.2994350282
UniRef90_R6HWC5	11.2676056338
UniRef90_R6HWC5|g__Bacteroides.s__Bacteroides_dorei	7.5117370892
UniRef90_R6HWC5|g__Bacteroides.s__Bacteroides_vulgatus	3.7558685446
UniRef90_R6HRE6	11.2612612613
UniRef90_R6HRE6|g__Bacteroides.s__Bacteroides_dorei	11.2612612613
UniRef90_R7P3R1	11.2612612613
UniRef90_R7P3R1|g__Bacteroides.s__Bacteroides_dorei	9.0090090090
UniRef90_R7P3R1|g__Bacteroides.s__Bacteroides_vulgatus	2.2522522523
UniRef90_R9HXR4	11.2359550562
UniRef90_R9HXR4|g__Bacteroides.s__Bacteroides_vulgatus	11.2359550562
UniRef90_A6KXL1	11.1111111111
UniRef90_A6KXL1|g__Bacteroides.s__Bacteroides_dorei	11.1111111111
UniRef90_A6KYP1	11.1111111111
UniRef90_A6KYP1|g__Bacteroides.s__Bacteroides_dorei	5.5555555556
UniRef90_A6KYP1|g__Bacteroides.s__Bacteroides_vulgatus	5.5555555556
UniRef90_A6L4K2	11.1111111111
UniRef90_A6L4K2|g__Bacteroides.s__Bacteroides_vulgatus	11.1111111111
UniRef90_A6L4W3	11.1111111111
UniRef90_A6L4W3|g__Bacteroides.s__Bacteroides_vulgatus	11.1111111111
UniRef90_D1K3M7	11.1111111111
UniRef90_D1K3M7|g__Bacteroides.s__Bacteroides_dorei	11.1111111111
UniRef90_Q5LCF6	11.1111111111
UniRef90_Q5LCF6|g__Bacteroides.s__Bacteroides_dorei	11.1111111111
UniRef90_R6HF18	11.1111111111
UniRef90_R6HF18|g__Bacteroides.s__Bacteroides_dorei	11.1111111111
UniRef90_R6HMR6	11.1111111111
UniRef90_R6HMR6|g__Bacteroides.s__Bacteroides_dorei	11.1111111111
UniRef90_R7P4Q7	11.1111111111
UniRef90_R7P4Q7|g__Bacteroides.s__Bacteroides_vulgatus	11.1111111111
UniRef90_A6L1X4	11.0001447387
UniRef90_A6L1X4|g__Bacteroides.s__Bacteroides_vulgatus	8.1632653061
UniRef90_A6L1X4|g__Bacteroides.s__Bacteroides_dorei	2.8368794326
UniRef90_E1WPT3	10.9890109890
UniRef90_E1WPT3|g__Bacteroides.s__Bacteroides_dorei	10.9890109890
UniRef90_I9R3I4	10.9739368999
UniRef90_I9R3I4|g__Bacteroides.s__Bacteroides_dorei	10.9739368999
UniRef90_C3Q522	10.9289617486
UniRef90_C3Q522|g__Bacteroides.s__Bacteroides_dorei	10.9289617486
UniRef90_I8WK68	10.9289617486
UniRef90_I8WK68|g__Bacteroides.s__Bacteroides_dorei	10.9289617486
UniRef90_R6HYY9	10.9289617486
UniRef90_R6HYY9|g__Bacteroides.s__Bacteroides_dorei	10.9289617486
UniRef90_E5UV84	10.9090909091
UniRef90_E5UV84|g__Bacteroides.s__Bacteroides_vulgatus	10.9090909091
UniRef90_F7M8U5	10.8225108225
